blink	time	pupil diam	eyeX	eyeY
1	10304	0.25	0.18124	0.69342
1	10335	0.25	0.18091	0.67952
1	10351	0.25	0.18288	0.68555
1	10367	0.25	0.18450	0.69048
1	10382	0.25	0.20571	0.68174
1	10398	0.25	0.19954	0.67825
1	10413	0.23	0.19426	0.67526
1	10429	0.23	0.19227	0.66585
1	10445	0.23	0.18772	0.66394
1	10460	0.25	0.18370	0.66226
1	10476	0.25	0.17977	0.65633
1	10492	0.25	0.18147	0.66163
1	10507	0.23	0.18300	0.66640
1	10523	0.23	0.18083	0.66263
1	10538	0.23	0.17775	0.65815
1	10554	0.22	0.16616	0.62066
1	10570	0.22	0.17099	0.56976
1	10585	0.22	0.16198	0.60988
1	10601	0.24000000000000002	0.15747	0.62994
1	10617	0.24000000000000002	0.16036	0.65100
1	10648	0.24000000000000002	0.16209	0.62568
1	10663	0.22	0.16333	0.60759
1	10679	0.22	0.16753	0.63303
1	10695	0.22	0.15901	0.63638
1	10710	0.23	0.15220	0.63906
1	10726	0.23	0.15220	0.63906
1	10742	0.23	0.17448	0.62502
1	10757	0.23	0.19305	0.61332
1	10773	0.23	0.18914	0.61050
1	10788	0.23	0.20378	0.60163
1	10804	0.22	0.21647	0.59395
1	10820	0.22	0.21422	0.58881
1	10835	0.22	0.22793	0.56654
1	10851	0.22	0.04114	0.62736
1	10867	0.22	-0.04377	0.56107
1	10882	0.22	-0.21857	0.51028
1	10898	0.22	-0.31347	0.42916
1	10913	0.22	-0.39039	0.34886
1	10929	0.22	-0.21300	0.03029
1	10945	0.22	0.15286	-0.32525
1	10976	0.22	-1.43292	1.04324
1	10992	0.22	-2.20511	1.99262
1	11007	0.22	-2.62300	2.59740
1	11023	0.22	0.55399	1.71804
1	11038	0.22	1.74021	0.54233
1	11054	0.22	1.72037	-0.63271
1	11070	0.22	-2.20863	1.66995
1	11085	0.22	-3.38207	1.40756
1	11101	0.22	-2.58110	0.58138
1	11117	0.22	-5.20177	2.46669
1	11132	0.22	-2.17450	0.55482
1	11148	0.22	1.76260	-1.88663
1	11163	0.22	2.84981	-2.57468
1	11179	0.22	5.36196	-4.13943
1	11195	0.22	5.36196	-4.13943
1	11216	0.22	5.36196	-4.13943
1	11231	0.22	-7.29813	3.54738
1	11247	0.22	-7.29813	3.54738
1	11263	0.22	-7.02788	4.22560
1	11278	0.22	-3.62411	3.46107
1	11294	0.22	-0.35548	2.35743
1	11309	0.22	4.48067	0.95432
1	11325	0.22	2.85206	0.95832
1	11341	0.22	-2.82894	2.21570
1	11356	0.22	-2.82894	2.21570
1	11372	0.22	-5.58462	1.56371
1	11403	0.22	-4.12196	0.60902
1	11419	0.22	4.55541	-0.97402
1	11434	0.22	5.61645	-1.12517
1	11450	0.22	1.60749	-0.00745
1	11466	0.22	7.14524	-1.02060
1	11481	0.22	5.01286	-0.79418
1	11497	0.22	2.11609	-0.62006
1	11513	0.22	2.77371	-1.48039
1	11528	0.22	-2.79435	0.81874
1	11544	0.22	-7.24283	3.46096
1	11559	0.22	-7.48427	3.35271
1	11575	0.22	-10.79912	4.83782
1	11591	0.22	-11.76901	5.05594
1	11606	0.22	-11.76901	5.05594
1	11622	0.22	-12.73890	5.27407
0	11638	0.22	-12.73890	5.27407
0	11653	0.22	-12.73890	5.27407
0	11684	0.22	0.00000	0.00000
0	11700	0.22	0.00000	0.00000
0	11716	0.22	0.00000	0.00000
0	11731	0.22	0.00000	0.00000
0	11747	0.22	0.00000	0.00000
0	11763	0.22	0.00000	0.00000
0	11778	0.22	0.00000	0.00000
0	11794	0.22	0.00000	0.00000
1	11809	0.22	2.37072	-0.03293
1	11825	0.22	4.68026	-0.06815
1	11841	0.22	4.64967	-0.06929
1	11856	0.22	4.70109	-0.07037
1	11872	0.22	4.52865	-0.01915
1	11888	0.22	4.34579	0.03319
1	11903	0.22	4.95236	-0.02400
1	11919	0.22	3.71312	0.05788
1	11934	0.22	2.26202	0.14220
1	11950	0.22	2.35162	-0.33551
1	11966	0.22	1.04698	-0.18691
1	11981	0.22	0.42309	0.15839
1	11997	0.22	0.53927	0.11465
1	12013	0.22	0.80151	-0.09629
1	12044	0.22	1.31760	-0.45800
1	12059	0.22	1.72826	-0.74820
1	12075	0.22	2.30099	-1.16609
1	12091	0.22	2.41033	-1.25801
1	12106	0.22	2.50485	-1.31115
1	12122	0.22	2.61093	-1.38715
1	12138	0.22	2.61509	-1.39062
1	12153	0.22	2.62658	-1.39687
1	12169	0.22	14.27830	-7.35439
1	12184	0.22	25.92219	-13.30705
1	12200	0.22	18.96085	-9.99768
1	12216	0.22	16.01671	-8.74676
1	12231	0.22	10.73129	-6.17420
1	12247	0.22	8.81084	-5.37916
1	12263	0.22	5.16878	-3.66060
1	12278	0.22	5.12966	-3.62585
1	12294	0.22	5.18856	-3.71054
1	12309	0.22	5.36589	-3.81531
1	12325	0.22	5.53334	-3.89512
1	12341	0.22	27.64710	-14.14546
1	12372	0.22	27.50281	-14.03845
1	12388	0.22	16.21791	-8.76636
1	12403	0.22	12.41139	-6.98557
1	12419	0.22	26.92743	-13.71277
1	12434	0.22	48.98919	-23.96640
1	12450	0.22	78.34933	-38.05225
1	12466	0.22	116.71196	-56.29336
1	12481	0.22	129.36365	-62.36472
1	12497	0.22	133.97427	-64.58401
1	12513	0.22	94.88603	-45.71729
1	12528	0.22	47.16664	-22.70525
0	12544	0.22	47.16664	-22.70525
0	12559	0.22	-0.55275	0.30679
0	12575	0.22	-0.55275	0.30679
0	12591	0.22	-0.55275	0.30679
0	12606	0.22	0.00000	0.00000
0	12622	0.22	0.00000	0.00000
0	12653	0.22	0.00000	0.00000
0	12669	0.22	0.00000	0.00000
0	12684	0.22	0.00000	0.00000
0	12700	0.22	0.00000	0.00000
0	12716	0.22	0.00000	0.00000
0	12731	0.22	0.00000	0.00000
0	12747	0.22	0.00000	0.00000
0	12763	0.22	0.00000	0.00000
0	12778	0.22	0.00000	0.00000
0	12794	0.22	0.00000	0.00000
0	12809	0.22	0.00000	0.00000
1	12825	0.22	-0.27637	0.15339
1	12841	0.22	-0.55598	0.47054
1	12856	0.22	-0.91429	0.79388
1	12872	14.73	-0.89221	0.84496
1	12888	14.73	-0.56059	0.72930
1	12903	14.73	-0.19375	0.60223
1	12919	12.200000000000001	0.02842	0.49609
1	12934	12.200000000000001	0.22755	0.37123
1	12950	12.200000000000001	0.52838	0.21204
1	12966	12.200000000000001	0.61856	0.16834
1	12997	12.200000000000001	0.66314	0.24065
1	13013	12.200000000000001	-0.32201	0.74042
0	13028	12.200000000000001	-0.32201	0.74042
0	13044	12.200000000000001	-0.32201	0.74042
0	13059	12.200000000000001	0.00000	0.00000
0	13075	12.200000000000001	0.00000	0.00000
0	13091	12.200000000000001	0.00000	0.00000
0	13106	12.200000000000001	0.00000	0.00000
0	13122	12.200000000000001	0.00000	0.00000
0	13138	12.200000000000001	0.00000	0.00000
0	13153	12.200000000000001	0.00000	0.00000
0	13169	12.200000000000001	0.00000	0.00000
0	13184	12.200000000000001	0.00000	0.00000
0	13200	12.200000000000001	0.00000	0.00000
0	13216	12.200000000000001	0.00000	0.00000
0	13231	12.200000000000001	0.00000	0.00000
0	13247	12.200000000000001	0.00000	0.00000
0	13263	12.200000000000001	0.00000	0.00000
0	13294	12.200000000000001	0.00000	0.00000
0	13309	12.200000000000001	0.00000	0.00000
0	13325	12.200000000000001	0.00000	0.00000
0	13341	12.200000000000001	0.00000	0.00000
0	13356	12.200000000000001	0.00000	0.00000
0	13372	12.200000000000001	0.00000	0.00000
1	13388	12.200000000000001	0.37564	0.17561
1	13403	12.200000000000001	0.73617	0.34363
1	13419	3.8	0.72862	0.33983
1	13427	3.8	0.78254	0.31293
0	13443	3.8	0.80572	0.29758
0	13474	3.8	0.80572	0.29758
0	13490	3.8	0.80572	0.29758
0	13506	3.8	0.00000	0.00000
0	13512	3.8	0.00000	0.00000
0	13528	3.8	0.00000	0.00000
0	13546	3.8	0.00000	0.00000
0	13561	3.8	0.00000	0.00000
0	13577	3.8	0.00000	0.00000
0	13593	3.8	0.00000	0.00000
1	13608	3.0100000000000002	0.10226	0.16496
1	13624	3.0100000000000002	0.50683	0.17970
1	13655	3.0100000000000002	0.25206	0.49484
1	13671	3.0100000000000002	-0.25612	0.72013
1	13686	3.0100000000000002	0.18107	0.53405
1	13702	3.0100000000000002	0.24438	0.49395
1	13718	3.0100000000000002	0.28237	0.46989
1	13733	3.0100000000000002	0.33138	0.40561
1	13749	3.0100000000000002	0.50956	0.34481
1	13764	3.0100000000000002	0.91534	0.23742
1	13780	3.0100000000000002	0.92442	0.12761
1	13796	3.0100000000000002	0.96166	0.10868
1	13811	3.0100000000000002	0.79147	0.19834
1	13827	3.0100000000000002	0.80161	0.13251
1	13843	3.0100000000000002	1.09037	0.35750
1	13858	3.4099999999999997	1.45917	0.57057
1	13874	3.4099999999999997	1.25409	0.13401
1	13889	3.4099999999999997	1.10488	0.11805
1	13905	4.57	0.87382	0.21384
1	13921	4.57	0.74978	0.26140
1	13936	4.57	0.90806	0.27189
1	13968	4.57	1.24388	0.21070
1	13968	4.57	1.24388	0.21070
1	13999	4.57	1.57970	0.14951
1	14015	4.57	1.57970	0.14951
1	14030	4.57	0.96769	0.31703
1	14046	4.57	0.35568	0.48455
